date, cputemp[degree], cpuload[%], ramUsed[%], diskspaceLeft[%], doIHaveInternet, transferedBytes, arePackagesUpdated
Sun Jun 4 11:33:01 AM CEST 2023, 85, 68.2, 68.1899, 15, 0, 65949027, Yes
Sun Jun 4 11:34:01 AM CEST 2023, 83, 54.5, 90.3021, 15, 0, 117029, Yes
Sun Jun 4 11:35:01 AM CEST 2023, 79, 27.6, 83.3912, 15, 0, 958795, Yes
Sun Jun 4 11:36:01 AM CEST 2023, 78, 61.2, 83.2058, 15, 0, 1806345, Yes
Sun Jun 4 11:37:01 AM CEST 2023, 79, 23.3, 82.9844, 15, 0, 2797414, Yes
Sun Jun 4 11:38:01 AM CEST 2023, 78, 44.4, 83.5322, 15, 0, 3675896, Yes
Sun Jun 4 11:39:01 AM CEST 2023, 79, 29.9, 83.1329, 15, 0, 4547668, Yes
Sun Jun 4 11:40:01 AM CEST 2023, 76, 51.7, 83.8565, 15, 0, 5352108, Yes
Sun Jun 4 11:41:01 AM CEST 2023, 77, 26.4, 83.7901, 15, 0, 6227197, Yes
Sun Jun 4 11:42:01 AM CEST 2023, 74, 44.8, 83.4956, 15, 0, 7105260, Yes
Sun Jun 4 11:43:01 AM CEST 2023, 75, 30.2, 82.9835, 15, 0, 7970558, Yes
Sun Jun 4 11:44:01 AM CEST 2023, 76, 48.3, 82.6869, 15, 0, 8857156, Yes
Sun Jun 4 11:45:02 AM CEST 2023, 76, 27.9, 83.016, 15, 0, 9695583, Yes
Sun Jun 4 11:46:01 AM CEST 2023, 77, 41.4, 82.9231, 15, 0, 10534906, Yes
Sun Jun 4 11:47:01 AM CEST 2023, 76, 29.8, 83.7521, 15, 0, 11414716, Yes
Sun Jun 4 11:48:01 AM CEST 2023, 75, 50.0, 82.9448, 15, 0, 12220781, Yes
Sun Jun 4 11:49:01 AM CEST 2023, 75, 26.2, 83.5429, 15, 0, 13126316, Yes
Sun Jun 4 11:50:01 AM CEST 2023, 76, 43.3, 82.9814, 15, 0, 14025001, Yes
Sun Jun 4 11:51:01 AM CEST 2023, 75, 27.1, 83.8399, 15, 0, 14808167, Yes
Sun Jun 4 11:52:01 AM CEST 2023, 77, 48.3, 83.6869, 15, 0, 15611520, Yes
Sun Jun 4 11:53:01 AM CEST 2023, 77, 48.8, 83.8908, 15, 0, 16458908, Yes
Sun Jun 4 11:54:01 AM CEST 2023, 76, 52.3, 82.8599, 15, 0, 17334558, Yes
Sun Jun 4 11:55:01 AM CEST 2023, 77, 23.5, 83.9427, 15, 0, 18159452, Yes
Sun Jun 4 11:56:02 AM CEST 2023, 76, 44.3, 83.8118, 15, 0, 19209368, Yes
Sun Jun 4 11:57:01 AM CEST 2023, 75, 25.0, 82.9378, 15, 0, 20210691, Yes
Sun Jun 4 11:58:01 AM CEST 2023, 76, 45.1, 83.6658, 15, 0, 21123347, Yes
Sun Jun 4 11:59:01 AM CEST 2023, 76, 41.4, 83.1268, 15, 0, 21905852, Yes
Sun Jun 4 12:00:01 PM CEST 2023, 75, 44.8, 83.7087, 15, 0, 22781773, Yes
Sun Jun 4 12:01:01 PM CEST 2023, 76, 25.9, 83.9097, 15, 0, 23575210, Yes
Sun Jun 4 12:02:01 PM CEST 2023, 78, 64.2, 83.1502, 15, 0, 24454900, Yes
Sun Jun 4 12:03:01 PM CEST 2023, 75, 23.8, 83.7872, 15, 0, 25309558, Yes
Sun Jun 4 12:04:01 PM CEST 2023, 76, 57.3, 82.8345, 15, 0, 26172129, Yes
Sun Jun 4 12:05:01 PM CEST 2023, 77, 36.0, 83.0655, 15, 0, 27027259, Yes
Sun Jun 4 12:06:01 PM CEST 2023, 76, 65.0, 83.5395, 15, 0, 27895787, Yes
Sun Jun 4 12:07:01 PM CEST 2023, 74, 24.7, 83.8138, 15, 0, 28748808, Yes
Sun Jun 4 12:08:02 PM CEST 2023, 75, 46.0, 82.9232, 15, 0, 29558350, Yes
Sun Jun 4 12:09:01 PM CEST 2023, 78, 50.0, 83.6232, 15, 0, 30357768, Yes
Sun Jun 4 12:10:01 PM CEST 2023, 78, 62.4, 83.1917, 15, 0, 31221922, Yes
Sun Jun 4 12:11:01 PM CEST 2023, 75, 28.2, 83.6267, 15, 0, 32083219, Yes
Sun Jun 4 12:12:01 PM CEST 2023, 78, 46.2, 82.7678, 15, 0, 32986010, Yes
Sun Jun 4 12:13:01 PM CEST 2023, 76, 27.1, 83.6117, 15, 0, 33825261, Yes
Sun Jun 4 12:14:01 PM CEST 2023, 76, 47.7, 83.6275, 15, 0, 34716547, Yes
Sun Jun 4 12:15:01 PM CEST 2023, 79, 25.3, 83.7992, 15, 0, 35579255, Yes
Sun Jun 4 12:16:01 PM CEST 2023, 79, 58.4, 82.9926, 15, 0, 36434264, Yes
Sun Jun 4 12:17:01 PM CEST 2023, 78, 25.0, 83.6831, 15, 0, 37319024, Yes
Sun Jun 4 12:18:01 PM CEST 2023, 77, 61.0, 83.3405, 15, 0, 38180553, Yes
Sun Jun 4 12:19:01 PM CEST 2023, 77, 24.1, 83.6067, 15, 0, 39075758, Yes
